scientific_name,park_name,observations
Pachysandra procumbens,Yellowstone National Park,213
Helianthus annuus,Yellowstone National Park,265
Blarina brevicauda,Bryce National Park,77
Polygonum viviparum,Great Smoky Mountains National Park,107
Astragalus purshii var. purshii,Yosemite National Park,156
Orthocarpus luteus,Great Smoky Mountains National Park,47
Liparis loeselii,Yosemite National Park,157
Cornus canadensis,Bryce National Park,89
Arctostaphylos uva-ursi,Yosemite National Park,154
Isatis tinctoria,Yosemite National Park,127
Eschscholzia hypecoides,Bryce National Park,106
Tofieldia glabra,Great Smoky Mountains National Park,75
Odocoileus virginianus,Great Smoky Mountains National Park,36
Galium pilosum var. puncticulosum,Bryce National Park,137
Physaria didymocarpa var. didymocarpa,Yellowstone National Park,244
Thamnophis sirtalis sirtalis,Great Smoky Mountains National Park,63
Krigia montana,Yellowstone National Park,214
Puma concolor,Bryce National Park,92
Sphaeralcea coccinea,Bryce National Park,108
Hypentelium nigricans,Great Smoky Mountains National Park,54
Cryptantha affinis,Bryce National Park,105
Pellaea atropurpurea,Bryce National Park,115
Platanus occidentalis,Great Smoky Mountains National Park,98
Plantago rugelii,Yellowstone National Park,223
Lewisia nevadensis,Bryce National Park,82
Arenaria congesta var. subcongesta,Great Smoky Mountains National Park,90
Calystegia sepium,Yellowstone National Park,218
Carex backii,Great Smoky Mountains National Park,58
Betula nigra,Bryce National Park,106
Quercus,Bryce National Park,59
Spiraea prunifolia,Great Smoky Mountains National Park,48
Andropogon glomeratus,Bryce National Park,65
Didymodon fallax var. reflexus,Yellowstone National Park,208
Rhynchospora alba,Bryce National Park,88
Accipiter cooperii,Bryce National Park,95
Eurycea longicauda longicauda,Yosemite National Park,147
Scleria oligantha,Great Smoky Mountains National Park,70
Orthotrichum stellatum,Great Smoky Mountains National Park,71
Rhododendron maximum,Bryce National Park,100
Morus alba,Great Smoky Mountains National Park,49
Sambucus racemosa var. racemosa,Great Smoky Mountains National Park,77
Nemacladus interior,Bryce National Park,100
Sphagnum subsecundum,Great Smoky Mountains National Park,73
Euphagus cyanocephalus,Bryce National Park,79
Eleocharis quinqueflora,Bryce National Park,106
Crotalaria sagittalis,Bryce National Park,56
Erechtites hieracifolia,Yosemite National Park,134
Scrophularia marilandica,Bryce National Park,89
Viola blanda var. blanda,Great Smoky Mountains National Park,108
Hordeum murinum ssp. murinum,Yosemite National Park,115
Calcarius lapponicus,Bryce National Park,91
Agrostis mertensii,Yosemite National Park,135
Seiurus aurocapilla,Bryce National Park,86
Chelone lyonii,Yellowstone National Park,244
Viburnum edule,Yosemite National Park,136
Platanthera obtusata,Great Smoky Mountains National Park,116
Pseudacris maculata,Bryce National Park,109
Chasmanthium sessiliflorum,Yellowstone National Park,257
Dichanthelium acuminatum var. acuminatum,Yosemite National Park,123
Osmorhiza berteroi,Yellowstone National Park,263
Hackelia nervosa,Yosemite National Park,168
Poa sylvestris,Bryce National Park,118
Amorpha fruticosa,Yellowstone National Park,258
Anthemis cotula,Yellowstone National Park,252
Rumex obtusifolius,Great Smoky Mountains National Park,27
Clarkia rhomboidea,Great Smoky Mountains National Park,92
Berberis canadensis,Great Smoky Mountains National Park,74
Poa bolanderi,Yosemite National Park,135
Zonotrichia atricapilla,Bryce National Park,94
Pinus,Bryce National Park,94
Potentilla fruticosa,Bryce National Park,71
Melanerpes erythrocephalus,Great Smoky Mountains National Park,84
Digitaria violascens,Yosemite National Park,132
Hypochaeris radicata,Great Smoky Mountains National Park,57
Phacelia egena,Yellowstone National Park,282
Atrichum oerstedianum,Great Smoky Mountains National Park,74
Pinus lambertiana,Bryce National Park,116
Thalictrum alpinum,Bryce National Park,110
Jeffersonia diphylla,Yellowstone National Park,258
Triosteum perfoliatum,Yellowstone National Park,257
Vaccinium parvifolium,Yellowstone National Park,253
Sematophyllum demissum,Bryce National Park,109
Phlox stolonifera,Yellowstone National Park,247
Cryptantha muricata,Yellowstone National Park,267
Pseudoroegneria spicata,Yosemite National Park,156
Prosartes maculatum,Great Smoky Mountains National Park,105
Cuscuta compacta,Yosemite National Park,140
Salix farriae,Bryce National Park,108
Coreopsis tripteris,Bryce National Park,86
Vermivora celata,Yosemite National Park,106
Malus angustifolia,Great Smoky Mountains National Park,71
Cyanocitta stelleri,Yellowstone National Park,230
Platanthera dilatata var. dilatata,Yellowstone National Park,257
Cheilanthes intertexta,Yosemite National Park,124
Carex lenticularis var. lipocarpa,Bryce National Park,112
Floerkea proserpinacoides,Yosemite National Park,131
Juncus effusus var. solutus,Yosemite National Park,131
Thelypodium sagittatum,Yosemite National Park,164
Lychnis coronaria,Yellowstone National Park,260
Carduelis tristis,Bryce National Park,110
Cicuta douglasii,Bryce National Park,119
Melanthium latifolium,Yosemite National Park,167
Lespedeza procumbens,Yellowstone National Park,233
Juncus ensifolius var. montanus,Bryce National Park,83
Osmorhiza depauperata,Great Smoky Mountains National Park,67
Cucumis melo,Bryce National Park,80
Viola blanda var. blanda,Yellowstone National Park,245
Oncorhynchus mykiss,Yosemite National Park,118
Ajuga reptans,Great Smoky Mountains National Park,60
Ranunculus pusillus,Great Smoky Mountains National Park,82
Taraxacum ceratophorum,Yosemite National Park,151
Oxytropis parryi,Great Smoky Mountains National Park,66
Cynosurus echinatus,Bryce National Park,75
Platanthera stricta,Bryce National Park,76
Dodecatheon subalpinum,Yellowstone National Park,206
Rumex paucifolius,Great Smoky Mountains National Park,86
Cyperus pseudovegetus,Bryce National Park,108
Malus coronaria,Great Smoky Mountains National Park,75
Nepeta cataria,Yosemite National Park,189
Hieracium piloselloides,Bryce National Park,77
Dichanthelium dichotomum var. dichotomum,Yellowstone National Park,242
Bidens aristosa,Bryce National Park,111
Secale cereale,Great Smoky Mountains National Park,82
Rugelia nudicaulis,Yosemite National Park,120
Iva annua,Great Smoky Mountains National Park,70
Bromus suksdorfii,Yellowstone National Park,243
Taenidia integerrima,Bryce National Park,114
Symphyotrichum spathulatum,Bryce National Park,110
Heterotheca villosa var. villosa,Yellowstone National Park,276
Pica hudsonia,Yellowstone National Park,239
Viburnum lentago,Great Smoky Mountains National Park,74
Saxifraga subapetala,Yellowstone National Park,265
Helianthella quinquenervis,Yellowstone National Park,237
Pteridium aquilinum var. latiusculum,Great Smoky Mountains National Park,29
Sturnus vulgaris,Yellowstone National Park,233
Carex preslii,Great Smoky Mountains National Park,25
Pellaea breweri,Great Smoky Mountains National Park,73
Houstonia longifolia var. longifolia,Yellowstone National Park,254
Mustela erminea,Bryce National Park,118
Monotropa hypopithys,Yosemite National Park,154
Pandion haliaetus,Yosemite National Park,134
Nandina domestica,Yellowstone National Park,220
Aix sponsa,Yosemite National Park,152
Iris missouriensis,Yosemite National Park,127
Rigiopappus leptocladus,Yellowstone National Park,266
Trifolium aureum,Yellowstone National Park,263
Ericameria cuneata var. cuneata,Yosemite National Park,166
Juncus marginatus,Great Smoky Mountains National Park,53
Carex jamesii,Great Smoky Mountains National Park,117
Carex gracillima,Yellowstone National Park,240
Crotalus viridis viridis,Great Smoky Mountains National Park,55
Penstemon procerus,Yellowstone National Park,215
Thaspium trifoliatum var. aureum,Yosemite National Park,125
Leucobryum glaucum,Bryce National Park,89
Empidonax difficilis,Yellowstone National Park,261
Sonchus oleraceus,Bryce National Park,99
Stizostedion vitreum,Great Smoky Mountains National Park,108
Heterocladium macounii,Great Smoky Mountains National Park,110
Saponaria officinalis,Great Smoky Mountains National Park,79
Stizostedion canadense,Bryce National Park,76
Riparia riparia,Yellowstone National Park,199
Chasmanthium sessiliflorum,Great Smoky Mountains National Park,70
Setophaga dominica,Yosemite National Park,140
Desmodium paniculatum var. paniculatum,Yellowstone National Park,206
Sayornis nigricans,Yosemite National Park,128
Logfia arvensis,Yosemite National Park,154
Sambucus mexicana,Yellowstone National Park,232
Gratiola viscidula,Great Smoky Mountains National Park,107
Populus alba,Yellowstone National Park,251
Galium obtusum,Yosemite National Park,114
Rosa setigera,Yosemite National Park,135
Cercocarpus betuloides var. betuloides,Yellowstone National Park,269
Opuntia fragilis,Great Smoky Mountains National Park,57
Smallanthus uvedalius,Bryce National Park,91
Silene stellata,Bryce National Park,98
Richardsonius balteatus,Yosemite National Park,163
Panicum rigidulum var. elongatum,Bryce National Park,93
Eriogonum prattenianum var. prattenianum,Yosemite National Park,143
Doellingeria infirma,Great Smoky Mountains National Park,68
Agoseris aurantiaca,Yellowstone National Park,241
Verbena hastata,Yosemite National Park,122
Aster patens var. patens,Yellowstone National Park,230
Elymus glaucus ssp. glaucus,Bryce National Park,70
Fleischmannia incarnata,Bryce National Park,96
Sialia sialis,Great Smoky Mountains National Park,69
Scolochloa festucacea,Bryce National Park,97
Elymus hystrix var. hystrix,Yosemite National Park,166
Sarracenia purpurea,Yellowstone National Park,235
Eriogonum ovalifolium var. nivale,Bryce National Park,149
Sedum sarmentosum,Great Smoky Mountains National Park,56
Brachydontium trichodes,Yosemite National Park,141
Geranium dissectum,Great Smoky Mountains National Park,119
Typha angustifolia,Bryce National Park,77
Prunus hortulana,Yosemite National Park,147
Ranunculus acris,Yosemite National Park,142
Eurybia chlorolepis,Yellowstone National Park,216
Sphenopholis pensylvanica,Great Smoky Mountains National Park,49
Circaea alpina,Bryce National Park,114
Erigenia bulbosa,Bryce National Park,124
Senecio streptanthifolius,Great Smoky Mountains National Park,69
Lasiurus blossevillii,Bryce National Park,113
Astragalus alpinus,Great Smoky Mountains National Park,82
Crataegus uniflora,Great Smoky Mountains National Park,91
Streptopus lanceolatus var. roseus,Bryce National Park,99
Lycopus asper,Yellowstone National Park,283
Empidonax wrightii,Bryce National Park,116
Symphyotrichum retroflexum,Yosemite National Park,163
Ericameria cuneata var. cuneata,Bryce National Park,100
Mimulus laciniatus,Yellowstone National Park,239
Senecio clarkianus,Yosemite National Park,157
Saccharum alopecuroidum,Yosemite National Park,145
Picoides borealis,Yosemite National Park,43
Lepidium ramosissimum,Bryce National Park,91
Plagiomnium ciliare,Bryce National Park,108
Malva neglecta,Yellowstone National Park,229
Amelanchier utahensis,Great Smoky Mountains National Park,66
Allium campanulatum,Yellowstone National Park,234
Carex integra,Yellowstone National Park,258
Castilleja lacera,Yellowstone National Park,230
Collomia heterophylla,Great Smoky Mountains National Park,49
Anemone occidentalis,Yosemite National Park,148
Senecio aureus,Yosemite National Park,153
Astragalus congdonii,Yellowstone National Park,230
Carex,Bryce National Park,80
Lysimachia hybrida,Yellowstone National Park,246
Amaranthus albus,Yellowstone National Park,212
Poa palustris,Yosemite National Park,172
Melilotus albus,Bryce National Park,85
Quercus michauxii,Bryce National Park,131
Uvularia perfoliata,Great Smoky Mountains National Park,79
Thalictrum fendleri,Yosemite National Park,146
Epilobium lactiflorum,Yellowstone National Park,239
Poecile atricapillus,Great Smoky Mountains National Park,97
Helmitheros vermivorus,Yellowstone National Park,291
Sequoiadendron giganteum,Yosemite National Park,141
Ditrichum pusillum,Yosemite National Park,160
Viburnum lantana,Yellowstone National Park,245
Ailanthus altissima,Bryce National Park,73
Salix bebbiana,Bryce National Park,86
Townsendia parryi,Bryce National Park,70
Corynorhinus rafinesquii,Yosemite National Park,188
Nycticorax nycticorax,Great Smoky Mountains National Park,64
Lespedeza hirta,Bryce National Park,106
Neckera pennata,Bryce National Park,115
Ageratina occidentalis,Yellowstone National Park,246
Baeolophus inornatus,Bryce National Park,97
Ribes cynosbati,Yellowstone National Park,237
Krascheninnikovia lanata,Yosemite National Park,151
Rumex crispus,Yellowstone National Park,256
Lonicera involucrata,Yosemite National Park,129
Pluvialis dominica,Bryce National Park,111
Equisetum scirpoides,Yellowstone National Park,227
Spizella pallida,Yellowstone National Park,258
Hemitremia flammea,Yellowstone National Park,251
Fabronia ciliaris var. polycarpa,Yellowstone National Park,264
Elymus trachycaulus ssp. subsecundus,Yosemite National Park,146
Erigeron peregrinus var. hirsutus,Yosemite National Park,125
Eriogonum umbellatum var. nevadense,Great Smoky Mountains National Park,63
Mimulus viscidus,Yosemite National Park,192
Juncus orthophyllus,Great Smoky Mountains National Park,77
Limosa fedoa,Yellowstone National Park,266
Juncus uncialis,Great Smoky Mountains National Park,97
Fabronia ciliaris,Bryce National Park,111
Thaspium barbinode,Great Smoky Mountains National Park,95
Polystichum scopulinum,Great Smoky Mountains National Park,54
Oxalis violacea,Yosemite National Park,159
Comandra umbellata,Yosemite National Park,145
Carex stipata,Bryce National Park,101
Ribes aureum var. aureum,Yosemite National Park,139
Allophyllum gilioides ssp. gilioides,Great Smoky Mountains National Park,54
Ulmus alata,Yosemite National Park,144
Mephitis mephitis,Yellowstone National Park,257
Rudbeckia fulgida var. fulgida,Yosemite National Park,151
Arnica discoidea,Yosemite National Park,153
Geum triflorum,Yellowstone National Park,234
Draba oligosperma,Great Smoky Mountains National Park,34
Cleistes divaricata,Yellowstone National Park,236
Tamias quadrimaculatus,Yellowstone National Park,261
Hedysarum sulphurescens,Yosemite National Park,143
Polypodium hesperium,Great Smoky Mountains National Park,68
Galium boreale,Yellowstone National Park,252
Hosta lancifolia,Bryce National Park,125
Trillium catesbaei,Bryce National Park,94
Larus californicus,Yosemite National Park,136
Rana draytonii,Great Smoky Mountains National Park,43
Fontinalis sullivantii,Bryce National Park,97
Clematis occidentalis var. grosseserrata,Yellowstone National Park,247
Anemone occidentalis,Great Smoky Mountains National Park,82
Anemone patens var. multifida,Great Smoky Mountains National Park,94
Diervilla sessilifolia,Great Smoky Mountains National Park,81
Pohlia annotina,Great Smoky Mountains National Park,84
Astomum muehlenbergianum,Great Smoky Mountains National Park,115
Aster patens var. patens,Yosemite National Park,132
Limnothlypis swainsonii,Great Smoky Mountains National Park,56
Arabis repanda var. greenei,Great Smoky Mountains National Park,78
Brachyelytrum septentrionale,Yellowstone National Park,247
Secale cereale,Bryce National Park,134
Packera aurea,Great Smoky Mountains National Park,71
Delphinium gracilentum,Great Smoky Mountains National Park,75
Carex debilis var. interjecta,Yellowstone National Park,239
Myriophyllum sibiricum,Yosemite National Park,176
Eriophyllum nubigenum,Yosemite National Park,118
Cryptantha ambigua,Yosemite National Park,159
Epilobium glaberrimum ssp. glaberrimum,Great Smoky Mountains National Park,72
Sorbus sitchensis var. grayi,Yosemite National Park,153
Plantago major,Great Smoky Mountains National Park,90
Valeriana occidentalis,Yosemite National Park,154
Mimulus moschatus,Yosemite National Park,139
Orthocarpus luteus,Bryce National Park,78
Hoita macrostachya,Yellowstone National Park,263
Polytrichum piliferum,Bryce National Park,110
Notropis volucellus,Bryce National Park,69
Poa sylvestris,Yosemite National Park,115
Artemisia vulgaris,Great Smoky Mountains National Park,86
Smilax tamnoides,Yosemite National Park,132
Erigeron compactus,Yosemite National Park,148
Clarkia purpurea ssp. viminea,Yosemite National Park,157
Carex stipata var. stipata,Yosemite National Park,174
Tortella humilis,Bryce National Park,54
Elodea nuttallii,Bryce National Park,120
Liriodendron tulipifera,Yosemite National Park,148
Sanicula bipinnatifida,Bryce National Park,105
Silene antirrhina,Yosemite National Park,163
Packera werneriifolia,Great Smoky Mountains National Park,45
Pinicola enucleator,Yosemite National Park,149
Potamogeton strictifolius,Great Smoky Mountains National Park,58
Desmognathus wrighti,Yellowstone National Park,201
Bryum lisae,Bryce National Park,155
Holosteum umbellatum,Yosemite National Park,142
Lolium arundinaceum,Yellowstone National Park,247
Carex aggregata,Yellowstone National Park,279
Anthus rubescens,Yosemite National Park,177
Cirsium undulatum,Great Smoky Mountains National Park,84
Helenium flexuosum,Yosemite National Park,133
Aythya affinis,Great Smoky Mountains National Park,115
Limosa fedoa,Yosemite National Park,131
Tipularia discolor,Bryce National Park,57
Arenaria aculeata,Great Smoky Mountains National Park,68
Juncus diffusissimus,Yellowstone National Park,245
Lutra canadensis,Bryce National Park,127
Phalaris arundinacea,Yellowstone National Park,201
Antennaria argentea,Yellowstone National Park,249
Sorex monticolus,Yellowstone National Park,252
Mimus polyglottos,Great Smoky Mountains National Park,116
Panicum gattingeri,Great Smoky Mountains National Park,94
Orobanche uniflora,Bryce National Park,92
Nycticeius humeralis,Yellowstone National Park,219
Zonotrichia leucophrys,Yosemite National Park,123
Rhododendron maximum,Yellowstone National Park,238
Oxalis montana,Yosemite National Park,161
Salvelinus namaycush,Bryce National Park,76
Bryum lisae var. cuspidatum,Yellowstone National Park,228
Mimulus angustatus,Great Smoky Mountains National Park,52
Thermopsis montana,Yellowstone National Park,261
Eleocharis palustris,Yellowstone National Park,242
Oxalis corniculata,Bryce National Park,92
Hypericum mitchellianum,Yellowstone National Park,276
Senecio fremontii var. fremontii,Yosemite National Park,114
Rudbeckia laciniata var. humilis,Yosemite National Park,152
Nucifraga columbiana,Bryce National Park,117
Contopus cooperi,Bryce National Park,130
Carex tahoensis,Bryce National Park,124
Bryoandersonia illecebra,Bryce National Park,93
Polygonatum biflorum var. biflorum,Bryce National Park,67
Dodecatheon jeffreyi,Bryce National Park,118
Leersia virginica,Great Smoky Mountains National Park,61
Polygonum douglasii ssp. douglasii,Great Smoky Mountains National Park,58
Montia chamissoi,Great Smoky Mountains National Park,86
Hedysarum sulphurescens,Great Smoky Mountains National Park,102
Lysimachia ciliata,Yosemite National Park,141
Turdus migratorius,Great Smoky Mountains National Park,69
Urocitellus beldingi,Yosemite National Park,157
Trifolium cyathiferum,Bryce National Park,128
Carex davyi,Yellowstone National Park,201
Mirabilis linearis,Yellowstone National Park,265
Viburnum rafinesquianum,Yellowstone National Park,273
Plethodon aureolus,Bryce National Park,90
Astragalus crassicarpus var. paysonii,Great Smoky Mountains National Park,45
Cinna arundinacea,Great Smoky Mountains National Park,70
Bidens vulgata,Bryce National Park,102
Digitaria sanguinalis,Yosemite National Park,144
Hymenocallis caroliniana,Bryce National Park,90
Danthonia unispicata,Great Smoky Mountains National Park,74
Echinochloa crus-galli,Yosemite National Park,159
Collinsonia verticillata,Yellowstone National Park,223
Microseris nutans,Great Smoky Mountains National Park,79
Rana pipiens,Yosemite National Park,136
Salix eriocephala,Yosemite National Park,155
Sturnus vulgaris,Yosemite National Park,151
Agrostis gigantea,Yellowstone National Park,253
Chaenactis douglasii var. douglasii,Yosemite National Park,131
Eupatorium pilosum,Great Smoky Mountains National Park,66
Carex tompkinsii,Yosemite National Park,149
Descurainia sophia,Great Smoky Mountains National Park,61
Carex phaeocephala,Yosemite National Park,134
Thlaspi arvense,Yosemite National Park,159
Phacelia cicutaria var. cicutaria,Yellowstone National Park,269
Anas acuta,Yosemite National Park,105
Juglans nigra,Bryce National Park,101
Astragalus kentrophyta var. tegetarius,Yellowstone National Park,259
Eleocharis quadrangulata,Yellowstone National Park,243
Peromyscus truei,Yosemite National Park,126
Carex cherokeensis,Yellowstone National Park,291
Quercus palustris,Yellowstone National Park,240
Potamogeton foliosus var. foliosus,Yellowstone National Park,289
Lanius excubitor,Bryce National Park,64
Lotus crassifolius var. crassifolius,Great Smoky Mountains National Park,77
Bromus japonicus,Bryce National Park,70
Andropogon virginicus,Yosemite National Park,147
Matricaria discoidea,Yosemite National Park,108
Rana draytonii,Yosemite National Park,69
Peromyscus californicus,Yellowstone National Park,276
Linanthus filipes,Great Smoky Mountains National Park,74
Quercus chrysolepis,Great Smoky Mountains National Park,74
Antennaria neglecta,Great Smoky Mountains National Park,85
Oreothlypis peregrina,Yellowstone National Park,250
Plethodon,Bryce National Park,102
Scutellaria ovata,Yellowstone National Park,210
Carex complanata,Yosemite National Park,139
Ribes oxyacanthoides var. setosum,Great Smoky Mountains National Park,87
Linnaea borealis,Yellowstone National Park,245
Drosera anglica,Great Smoky Mountains National Park,100
Dendroica petechia,Bryce National Park,75
Agrostis gigantea,Yellowstone National Park,235
Rana sierrae,Yosemite National Park,42
Sitta carolinensis,Bryce National Park,73
Spinus lawrencei,Yellowstone National Park,305
Lilium grayi,Great Smoky Mountains National Park,89
Carex stenoptila,Yosemite National Park,137
Anthemis tinctoria,Bryce National Park,116
Agrostis mertensii,Yosemite National Park,128
Paeonia brownii,Great Smoky Mountains National Park,62
Sayornis nigricans,Great Smoky Mountains National Park,35
Cryptantha muricata,Bryce National Park,127
Dendroica pensylvanica,Bryce National Park,137
Gila atraria,Yosemite National Park,142
Sedum pulchellum,Yosemite National Park,184
Anaxyrus canorus,Great Smoky Mountains National Park,30
Hemerocallis lilioasphodelus,Yellowstone National Park,243
Neovison vison,Yellowstone National Park,218
Eurhynchium hians,Great Smoky Mountains National Park,46
Juniperus occidentalis,Great Smoky Mountains National Park,71
Cynoglossum grande,Yellowstone National Park,233
Eupatorium rugosum,Great Smoky Mountains National Park,77
Pinus,Great Smoky Mountains National Park,85
Crepis intermedia,Bryce National Park,103
Populus balsamifera ssp. balsamifera,Yellowstone National Park,255
Gypsophila paniculata,Yosemite National Park,174
Peromyscus truei,Great Smoky Mountains National Park,85
Agrostemma githago,Yosemite National Park,186
Juniperus scopulorum,Great Smoky Mountains National Park,75
Elymus multisetus,Yellowstone National Park,256
Erysimum asperum,Great Smoky Mountains National Park,90
Arctium minus,Yosemite National Park,162
Carex amphibola,Yosemite National Park,141
Youngia japonica,Yellowstone National Park,251
Scirpus expansus,Yellowstone National Park,203
Bryohaplocladium microphyllum,Great Smoky Mountains National Park,74
Carex aestivalis,Bryce National Park,115
Spea intermontana,Bryce National Park,60
Funaria hygrometrica,Yellowstone National Park,276
Tytonidae,Bryce National Park,111
Solanum xanti,Great Smoky Mountains National Park,80
Claytonia megarhiza,Bryce National Park,98
Eriogonum wrightii var. trachygonum,Yellowstone National Park,283
Ericameria nauseosa var. oreophila,Bryce National Park,109
Reithrodontomys humulis,Yellowstone National Park,222
Malva parviflora,Great Smoky Mountains National Park,81
Trichomanes intricatum,Yellowstone National Park,225
Perideridia howellii,Yosemite National Park,126
Corydalis aurea,Yosemite National Park,141
Rhus glabra,Yellowstone National Park,238
Juncus ensifolius,Great Smoky Mountains National Park,71
Neotoma macrotis streatori,Bryce National Park,91
Polygonum scandens var. cristatum,Bryce National Park,141
Luxilus chrysocephalus,Great Smoky Mountains National Park,55
Rosa eglanteria,Great Smoky Mountains National Park,67
Cyperus refractus,Yellowstone National Park,222
Penstemon davidsonii var. davidsonii,Bryce National Park,73
Trisetum spicatum,Bryce National Park,119
Panicum philadelphicum,Bryce National Park,103
Torilis nodosa,Yosemite National Park,170
Polytrichum piliferum,Great Smoky Mountains National Park,34
Carex haydeniana,Great Smoky Mountains National Park,119
Stellaria corei,Bryce National Park,117
Pipilo maculatus,Yosemite National Park,135
Pluvialis squatarola,Great Smoky Mountains National Park,95
Actitis macularia,Bryce National Park,91
Spizella arborea,Yosemite National Park,151
Silene oregana,Great Smoky Mountains National Park,69
Salix pseudomonticola,Great Smoky Mountains National Park,58
Geum vernum,Bryce National Park,131
Thalictrum thalictroides,Yosemite National Park,170
Mertensia virginica,Great Smoky Mountains National Park,69
Lithophragma affine,Yellowstone National Park,254
Desmodium laevigatum,Great Smoky Mountains National Park,61
Phoenicaulis cheiranthoides,Yosemite National Park,144
Smilax biltmoreana,Yellowstone National Park,255
Schwetschkeopsis fabronia,Yellowstone National Park,253
Oxytropis campestris var. cusickii,Bryce National Park,70
Cornus nuttallii,Yosemite National Park,145
Ranunculus allegheniensis,Bryce National Park,137
Hieracium caespitosum,Yosemite National Park,134
Pelecanus erythrorhynchos,Great Smoky Mountains National Park,93
Rumex conglomeratus,Great Smoky Mountains National Park,48
Rumex acetosella,Yellowstone National Park,234
Sanicula canadensis,Yosemite National Park,144
Mertensia alpina,Bryce National Park,110
Soliva sessilis,Yellowstone National Park,236
Diodia teres,Great Smoky Mountains National Park,102
Isothecium myosuroides,Yellowstone National Park,273
Xanthocephalus xanthocephalus,Yosemite National Park,134
Rotala ramosior,Yosemite National Park,164
Sorex dispar,Bryce National Park,123
Juncus biflorus,Yellowstone National Park,220
Populus balsamifera,Bryce National Park,89
Moneses uniflora,Great Smoky Mountains National Park,105
Barbilophozia attenuata,Yellowstone National Park,247
Charina bottae,Great Smoky Mountains National Park,77
Cheilanthes alabamensis,Yellowstone National Park,276
Crataegus crus-galli,Great Smoky Mountains National Park,50
Oxytropis deflexa var. sericea,Yosemite National Park,169
Pholistoma auritum var. auritum,Yosemite National Park,157
Bryum pseudotriquetrum,Yosemite National Park,156
Carex eburnea,Yellowstone National Park,251
Thelypodium integrifolium,Yellowstone National Park,285
Clintonia uniflora,Bryce National Park,125
Leptodontium excelsum,Yosemite National Park,130
Astragalus americanus,Bryce National Park,107
Lathyrus venosus var. intonsus,Yosemite National Park,165
Streptopus roseus,Bryce National Park,144
Heterocodon rariflorum,Bryce National Park,141
Vinca major,Yellowstone National Park,255
Ochotona princeps,Bryce National Park,69
Cirsium discolor,Bryce National Park,74
Cardamine angustata,Great Smoky Mountains National Park,52
Convallaria majuscula,Yellowstone National Park,235
Claytonia parviflora ssp. parviflora,Yosemite National Park,157
Arnica fulgens,Yosemite National Park,172
Setaria viridis,Great Smoky Mountains National Park,100
Collinsonia verticillata,Great Smoky Mountains National Park,50
Dipsacus fullonum,Yellowstone National Park,239
